Name,Tags,Address,Sign up
Jewish General Hospital,Healthcare,3755 Côte Ste-Catherine,https://www.jgh.ca/about-us/volunteering/
Royal Victoria Hospital,Healthcare,1001 Decarie Blvd,https://muhc.ca/volunteer/page/volunteer-now
Montreal Chest Institute,Healthcare,1001 Decarie Blvd,https://muhc.ca/volunteer/page/volunteer-now
Lachine Hospital,Healthcare,650 16 Ave Lachine,https://muhc.ca/volunteer/page/volunteer-now
Montreal General Hospital,Healthcare,1650 Cedar Ave,https://muhc.ca/volunteer/page/volunteer-now
Montreal Neurological Hospital,Healthcare,3801 Rue University,https://muhc.ca/volunteer/page/volunteer-now
Cadars Cancer Centre,Healthcare,1001 Decarie Blvd,https://cansupport.ca/volunteer/
Montreal Children's Hospital,Healthcare,1001 Decarie Blvd,https://www.thechildren.com/volunteer/how-apply
Centre hospitalier de l'Université de Montréal,Healthcare,1000 rue Saint-Denis,https://www.chumontreal.qc.ca/repertoire/service-benevolat-animation-loisirs/devenir-benevole-au-chum
Centre d'hébergement Émilie-Gamelin,"Healthcare, Eldercare",1440 Rue Dufresne,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Armand-Lavergne,"Healthcare, Eldercare",3500 Rue Chapleau,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Bruchési,"Healthcare, Eldercare",2225 Rue Rachel E,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Jean-de-La-Lande,"Healthcare, Eldercare",4255 Av. Papineau,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Ernest-Routhier,"Healthcare, Eldercare",2110 Rue Wolfe,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement du Manoir-de- l'Âge-d'Or,"Healthcare, Eldercare",3430 Jeanne Mance St,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Paul-Émile-Léger,"Healthcare, Eldercare",66 Boulevard René-Lévesque Est,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Hôpital chinois de Montréal,"Healthcare, Eldercare, Cultural",189 Avenue Viger E,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement des Seigneurs,"Healthcare, Eldercare",1800 Rue Saint-Jacques,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Louis-Riel,"Healthcare, Eldercare",2120 Rue Augustin-Cantin,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Réal-Morel,"Healthcare, Eldercare",3500 Rue Wellington,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Saint-Henri,"Healthcare, Eldercare",5205 R. Notre Dame O,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement du Manoir-de-Verdun,"Healthcare, Eldercare",5500 Bd LaSalle,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Yvon-Brunet,"Healthcare, Eldercare",6250 Av. Newman,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Centre d'hébergement Champlain,"Healthcare, Eldercare",1325 Rue Crawford,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Hôpital de Verdun,Heathcare,4000 Bd LaSalle,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
Hôpital Notre-Dame,Heathcare,1560 Rue Sherbrooke Est,https://ciusss-centresudmtl.gouv.qc.ca/propos/benevolat/devenez-benevole-chez-nous
CHSLD Jean-Hubert-Biermans,"Healthcare, Eldercare",7905 Sherbrooke St E,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Judith-Jasmin,"Healthcare, Eldercare",8850 Rue Bisaillon,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Pierre-Joseph-Triest,"Healthcare, Eldercare",4900 Bd Lapointe,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD François-Séguenot ,"Healthcare, Eldercare",13950 rue Notre-Dame Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD de Saint-Michel ,"Healthcare, Eldercare",3130 Rue Jarry Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Joseph-François-Perrault ,"Healthcare, Eldercare",7400 Boulevard Saint-Michel,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD J.-Henri Charbonneau ,"Healthcare, Eldercare",3095 Rue Sherbrooke Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Jeanne-Le Ber ,"Healthcare, Eldercare",7445 Rue Hochelaga,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Nicolet ,"Healthcare, Eldercare",2300 Rue Nicolet,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Benjamin-Victor-Rousselot ,"Healthcare, Eldercare",5655 rue Sherbrooke Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Robert-Cliche ,"Healthcare, Eldercare",3730 Rue de Bellechasse,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Marie-Rollet ,"Healthcare, Eldercare",5003 Rue Saint-Zotique Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Éloria-Lepage ,"Healthcare, Eldercare",3090 Avenue de la Pépinière,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Dante ,"Healthcare, Eldercare",6887 Rue Chatelain,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
CHSLD Polonais Marie-Curie Sklodowska ,"Healthcare, Eldercare",5655 Rue Bélanger,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole-en-CHSLD
Maisonneuve Rosemont Hospital,Heathcare,5415 boulevard de l'Assomption,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole/devenir-benevole-en-milieu-hospitalier
Santa-Cabrini Hospital,Heathcare,5655 rue Saint-Zotique Est,https://ciusss-estmtl.gouv.qc.ca/devenir-benevole/devenir-benevole-en-milieu-hospitalier
CHSLD Notre-Dame-de-la-Merci ,"Healthcare, Eldercare",555 boulevard Gouin Ouest,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/
CHSLD Laurendeau ,"Healthcare, Eldercare",1725 boulevard Gouin Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Auclair ,"Healthcare, Eldercare",6910 rue Boyer,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Légaré ,"Healthcare, Eldercare",1615 rue Émile-Journault,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD de Cartierville ,"Healthcare, Eldercare",12235 rue Grenet,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Paul-Gouin ,"Healthcare, Eldercare",5900 rue de Saint-Vallier,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD de La Petite-Patrie ,"Healthcare, Eldercare",6767 rue Cartier,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Paul-Lizotte ,"Healthcare, Eldercare",6850 boulevard Gouin Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD de Saint-Laurent ,"Healthcare, Eldercare",1275 boulevard de la Côte-Vertu,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CHSLD Saint-Joseph-de-la-Providence ,"Healthcare, Eldercare",11844 avenue du Bois-de-Boulogne,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
"CLSC d""Ahunstic ",Heathcare,1165 boulevard Henri-Bourassa Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Montrél-Nord ,Heathcare,11441 boulevard Lacordaire,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Bordeaux-Cartierville ,Heathcare,11822 avenue du Bois-de-Boulogne,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Saint-Laurent ,Heathcare,1055 avenue Sainte-Croix,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de La Petite-Patrie ,Heathcare,6520 rue de Saint-Vallier,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
CLSC de Villeray ,Heathcare,1425 rue Jarry Est,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
Hôpital du Sacré-Coeur-de-Montréal ,Heathcare,5400 boul. Gouin Ouest,https://www.ciusssnordmtl.ca/a-propos/b%C3%A9n%C3%A9volat/#c22815
